name;description;url
Sunshine Live;DE: Normal Sunshine Live radio;https://sunsl.streamabc.net/sunsl-sunshinelive-mp3-192-3047475
Sunshine Live Melodic Beats;DE: Melodic Beats on Sunshine Live radio;https://sunshinelive.hoerradar.de/sunshinelive-melodiclive-mp3-hq
Sunshine Live Depeche Mode;DE: Depeche Mode of Sunshine Live;https://sunsl.streamabc.net/sunsl-depechemode-mp3-192-6237144
Sunshine Live Techno Live;DE: Live Techno on Sunshine Live;https://sunshinelive.hoerradar.de/sunshinelive-technolive-mp3-hq
Sunshine Live Trance;DE: Trance on Sunshine Live;https://sunshinelive.hoerradar.de/sunshinelive-trance-mp3-hq
Sunsine Live Summer Beats;DE: Summer Beats on Sunshine Live;https://sunsl.streamabc.net/sunsl-playlist2-mp3-192-4542868
Sunshine Live Melodic Techno;DE: Melodic Techno on Sunshine Live;https://sunsl.streamabc.net/sunsl-melodictechno-mp3-192-4167248
Sunshine Live & Pride;DE: Pride Playlist on Sunshine Live;https://sunsl.streamabc.net/sunsl-sslpride-mp3-192-1744824
Sunshine Live Hard;DE: Hardstyle on Sunshine Live;https://sunshinelive.hoerradar.de/sunshinelive-hard-mp3-hq
Sunshine Live 90's;DE: 90's on Sunshine Live;https://sunshinelive.hoerradar.de/sunshinelive-90er-mp3-hq
Sunshine Live Chillout;DE: Chillout Playlist on Sunshine Live;https://sunsl.streamabc.net/sunsl-chillout-mp3-192-3900120
Sunshine Live Charts;DE: Charts of Sunshine Live;https://sunsl.streamabc.net/sunsl-charts-mp3-192-1193432
Sunshine Live Workout;DE: Workout Playlist on Sunshine Live;https://sunsl.streamabc.net/sunsl-workout-mp3-192-3330865
Sunshine Live Tech House;DE: Tech House on Sunshine Live;https://sunsl.streamabc.net/sunsl-techhouse-mp3-192-9113798
Rock Antenne;DE: Rock Music on Rock Antenne ;https://s4-webradio.rockantenne.de/rockantenne/stream
Radio Bob;DE: Rock Music on Radio Bob;https://bob.hoerradar.de/radiobob-national-mp3-hq
Antenne Bayern;DE: General PoP and Hit Music on Antenne Bayern;https://s7-webradio.antenne.de/antenne/stream
Bayern 3;DE: General PoP and Hit Music on Bayern 3;https://streams.br.de/bayern3_2.m3u
Bayern 1;DE: Classics;https://streams.br.de/bayern1nbopf_2.m3u
One World Radio;Tomorrowlands One World Radio;https://25533.live.streamtheworld.com/OWR_INTERNATIONAL.mp3
Daybreak Sessions: One World Radio;Daybreak Sessions Radio of the One World Radio;https://22673.live.streamtheworld.com/OWR_DAYBREAK.mp3
A State of Trance Radio;The A State of Trance Radio;https://www.youtube.com/watch?v=5lMmnfVylEE
